COVERAGE,YEAR,MONTH,DATE,PRODUCT_GROUP,PRODUCT,MEASUREMENT_UNIT,VOLUME,VALUE,INDEX,STATUS
National,2001,January,01/01/2001,Precious Metals,Gold,Kilograms,2255.1,187081.313,53.728,Final Figures.
National,2001,January,01/01/2001,Precious Metals,Silver,Kilograms,215465,312983.364,96.91,Final Figures.
National,2001,January,01/01/2001,Non-Ferrous Industrial Metals,Lead,Tons,11591,53528.285,138.091,Final Figures.
National,2001,January,01/01/2001,Non-Ferrous Industrial Metals,Copper,Tons,31801,595985.648,142.064,Final Figures.
National,2001,January,01/01/2001,Non-Ferrous Industrial Metals,Zinc,Tons,33286,363521.974,100.535,Final Figures.
National,2001,January,01/01/2001,Non-Ferrous Industrial Metals,Antimony,Tons,23,0,72.632,Final Figures.
National,2001,January,01/01/2001,Non-Ferrous Industrial Metals,Arsenic,Tons,181,1387.666,423.392,Final Figures.
National,2001,January,01/01/2001,Non-Ferrous Industrial Metals,Bismuth,Tons,117,9460.805,124.028,Final Figures.
National,2001,January,01/01/2001,Non-Ferrous Industrial Metals,Tin,Tons,1,44.074,72,Final Figures.
National,2001,January,01/01/2001,Non-Ferrous Industrial Metals,Cadmium,Tons,99,381.279,78.194,Final Figures.
National,2001,January,01/01/2001,Non-Ferrous Industrial Metals,Molybdenum,Tons,596,27408.633,91.551,Final Figures.
National,2001,January,01/01/2001,Steel Metals and Minerals,Non-Coking Coal,Tons,495163,149687.901,57.12,Final Figures.
National,2001,January,01/01/2001,Steel Metals and Minerals,Coke,Tons,186263,290858.988,144.447,Final Figures.
National,2001,January,01/01/2001,Steel Metals and Minerals,Iron Pellets,Tons,486177,109161.429,75.513,Final Figures.
National,2001,January,01/01/2001,Steel Metals and Minerals,Manganese,Tons,1304,1275.788,9.21,Final Figures.
National,2001,January,01/01/2001,Non-Metallic Minerals,Sulfur,Tons,70133,48440.386,80.837,Final Figures.
National,2001,January,01/01/2001,Non-Metallic Minerals,Graphite,Tons,2758,6061.119,457.823,Final Figures.
National,2001,January,01/01/2001,Non-Metallic Minerals,Barite,Tons,12711,9515.716,108.9,Final Figures.
National,2001,January,01/01/2001,Non-Metallic Minerals,Dolomite,Tons,48538,9658.962,47.201,Final Figures.
National,2001,January,01/01/2001,Non-Metallic Minerals,Fluorite,Tons,58485,63142.194,66.357,Final Figures.
National,2001,January,01/01/2001,Non-Metallic Minerals,Kaolin,Tons,7815,5863.023,110.21,Final Figures.
National,2001,January,01/01/2001,Non-Metallic Minerals,Silica Sand,Tons,143568,31763,61.992,Final Figures.
National,2001,January,01/01/2001,Non-Metallic Minerals,Gypsum,Tons,305981,39304.263,71.503,Final Figures.
National,2001,January,01/01/2001,Non-Metallic Minerals,Phosphate Rock,Tons,94336,34628.736,116.813,Final Figures.
National,2001,January,01/01/2001,Non-Metallic Minerals,Wollastonite,Tons,1834,3578.383,46.981,Final Figures.
National,2001,January,01/01/2001,Non-Metallic Minerals,Celestite,Tons,14036,7367.817,568.624,Final Figures.
National,2001,January,01/01/2001,Non-Metallic Minerals,Feldspar,Tons,26623,11910.2,71.709,Final Figures.
National,2001,January,01/01/2001,Non-Metallic Minerals,Salt,Tons,676908,75806.927,92.214,Final Figures.
National,2001,January,01/01/2001,Non-Metallic Minerals,Diatomite,Tons,4871,8698.632,45.475,Final Figures.
National,2001,January,01/01/2001,Non-Metallic Minerals,Sodium Sulfate,Tons,42000,32272.8,81.553,Final Figures.
National,2001,January,01/01/2001,Non-Metallic Minerals,Magnesium Sulfate,Tons,1078,934.423,30.047,Final Figures.
National,2001,February,01/02/2001,Precious Metals,Gold,Kilograms,1915.8,156195.997,45.651,Final Figures.
National,2001,February,01/02/2001,Precious Metals,Silver,Kilograms,247541,349165.637,111.337,Final Figures.
National,2001,February,01/02/2001,Non-Ferrous Industrial Metals,Lead,Tons,13087,63195.026,155.914,Final Figures.
National,2001,February,01/02/2001,Non-Ferrous Industrial Metals,Copper,Tons,27560,504731.591,123.118,Final Figures.
National,2001,February,01/02/2001,Non-Ferrous Industrial Metals,Zinc,Tons,32472,347165.149,98.077,Final Figures.
National,2001,February,01/02/2001,Non-Ferrous Industrial Metals,Antimony,Tons,24,0,75.789,Final Figures.
National,2001,February,01/02/2001,Non-Ferrous Industrial Metals,Arsenic,Tons,191,1458.77,446.784,Final Figures.
National,2001,February,01/02/2001,Non-Ferrous Industrial Metals,Bismuth,Tons,87,6984.622,92.226,Final Figures.
National,2001,February,01/02/2001,Non-Ferrous Industrial Metals,Tin,Tons,1,60.399,88,Final Figures.
National,2001,February,01/02/2001,Non-Ferrous Industrial Metals,Cadmium,Tons,103,392.302,79.742,Final Figures.
National,2001,February,01/02/2001,Non-Ferrous Industrial Metals,Molybdenum,Tons,700,32730.88,107.527,Final Figures.
National,2001,February,01/02/2001,Steel Metals and Minerals,Non-Coking Coal,Tons,630674,190652.876,72.751,Final Figures.
National,2001,February,01/02/2001,Steel Metals and Minerals,Coke,Tons,166830,252945.978,129.376,Final Figures.
National,2001,February,01/02/2001,Steel Metals and Minerals,Iron Pellets,Tons,470643,112422.544,73.101,Final Figures.
National,2001,February,01/02/2001,Steel Metals and Minerals,Manganese,Tons,12294,11982.32,86.828,Final Figures.
National,2001,February,01/02/2001,Non-Metallic Minerals,Sulfur,Tons,66962,46074.316,77.182,Final Figures.
National,2001,February,01/02/2001,Non-Metallic Minerals,Graphite,Tons,2837,6211.046,470.937,Final Figures.
National,2001,February,01/02/2001,Non-Metallic Minerals,Barite,Tons,12779,9530.652,109.483,Final Figures.
National,2001,February,01/02/2001,Non-Metallic Minerals,Dolomite,Tons,57738,11489.763,56.147,Final Figures.
National,2001,February,01/02/2001,Non-Metallic Minerals,Fluorite,Tons,62716,67452.869,71.157,Final Figures.
National,2001,February,01/02/2001,Non-Metallic Minerals,Kaolin,Tons,7802,5732.186,110.027,Final Figures.
